sponsor,n_originated,n_approved,success_pct
Insud Pharma,3,0,0.0
Energenesis Biomedical Co,3,0,0.0
Cerecor,3,0,0.0
ST Pharm Co,3,0,0.0
Beyond Air Inc.,3,0,0.0
BHR Pharma,3,0,0.0
Canopy Growth Corporation,3,0,0.0
Tilray,3,0,0.0
Teva Pharmaceuticals USA,3,0,0.0
Cetylite Industries,3,0,0.0
Revimmune,3,0,0.0
Allgenesis Biotherapeutics Inc.,3,0,0.0
NFL Biosciences SAS,3,0,0.0
BioAtla,3,0,0.0
Spectrum Pharmaceuticals,3,0,0.0
Betaliq,3,0,0.0
Nevakar,3,0,0.0
Quince Therapeutics,3,0,0.0
Modern Biosciences Ltd,3,0,0.0
Silk Technologies,3,0,0.0
Melt Pharmaceuticals,3,0,0.0
CStone Pharmaceuticals,3,0,0.0
MicuRx,3,0,0.0
UroGen Pharma Ltd.,3,0,0.0
Mimetogen Pharmaceuticals USA,3,0,0.0
Capricor Inc.,3,0,0.0
Bio 54,3,0,0.0
Synlogic,3,0,0.0
Equillium,3,0,0.0
Viatris Specialty LLC,3,0,0.0
Veloce BioPharma LLC,3,0,0.0
CSPC Baike (Shandong) Biopharmaceutical Co,3,0,0.0
Lyra Therapeutics,3,0,0.0
GPCR Therapeutics,3,0,0.0
CG Oncology,3,0,0.0
Edesa Biotech Inc.,3,0,0.0
ECRI bv,3,0,0.0
Gradalis,3,0,0.0
Orient Pharma Co,3,0,0.0
PepTcell,3,0,0.0
Enteris BioPharma Inc.,3,0,0.0
Zevra Therapeutics,3,1,33.3
Alterity Therapeutics,3,0,0.0
Beijing Minhai Biotechnology Co,3,0,0.0
Atox Bio Ltd,3,0,0.0
NeuroDerm Ltd.,3,0,0.0
AlloVir,3,0,0.0
Akorn,3,0,0.0
"Mitotech, SA",3,0,0.0
RECORDATI GROUP,3,0,0.0
Auris Medical,3,0,0.0
La Jolla Pharmaceutical Company,3,0,0.0
Krystal Biotech,3,1,33.3
Regenera Pharma Ltd,3,0,0.0
HighTide Biopharma Pty Ltd,3,0,0.0
Lyndra Inc.,3,0,0.0
MC2 Therapeutics,3,0,0.0
BrightGene Bio-Medical Technology Co,3,0,0.0
Cassava Sciences,3,0,0.0
Mónica Olivares Martín; PhD,3,0,0.0
HanAll BioPharma Co,3,0,0.0
Pierre Fabre Medicament,3,0,0.0
Eucure (Beijing) Biopharma Co,3,0,0.0
Mundipharma Pharmaceuticals,3,0,0.0
Recursion Pharmaceuticals Inc.,3,0,0.0
Next Gen Pharma India,3,0,0.0
DS Biopharma,3,0,0.0
Lumicell,3,1,33.3
Viking Therapeutics,3,0,0.0
MedPacto,3,0,0.0
Oral Defense,3,0,0.0
Pulmocide Ltd,3,0,0.0
Harbour BioMed (Guangzhou) Co. Ltd.,3,0,0.0
Azidus Brasil,3,0,0.0
Gritstone bio,3,0,0.0
Biologische Heilmittel Heel,3,0,0.0
Neurofix S.L.,3,0,0.0
MapLight Therapeutics,3,0,0.0
Jiangxi Qingfeng Pharmaceutical Co. Ltd.,3,0,0.0
Allecra,3,0,0.0
Blueberry Therapeutics,3,0,0.0
Marinomed Biotech,3,0,0.0
Eagle Pharmaceuticals,3,0,0.0
SanBio,3,0,0.0
Zhejiang Huahai Pharmaceutical Co,3,0,0.0
Lupin Ltd.,3,0,0.0
Envisia Therapeutics,3,0,0.0
Rebiotix Inc.,3,0,0.0
Vascular Therapies,3,0,0.0
Vedanta Biosciences,3,0,0.0
Khondrion BV,3,0,0.0
Arbutus Biopharma Corporation,3,0,0.0
ApoPharma,3,0,0.0
TerSera Therapeutics LLC,3,0,0.0
"Technovalia, Pty Ltd",3,0,0.0
ImmuneSensor Therapeutics Inc.,3,0,0.0
Cadila Pharnmaceuticals,3,0,0.0
AKARI Therapeutics,3,0,0.0
Adial Pharmaceuticals,3,0,0.0
Vidac Pharma,3,0,0.0
Clene Nanomedicine,3,0,0.0
CARGO Therapeutics,3,0,0.0
Taisho Pharmaceutical Indonesia,3,0,0.0
Vical,3,0,0.0
Applied Molecular Transport,3,0,0.0
Aerogen Pharma,3,0,0.0
BioVie Inc.,3,0,0.0
BioMed Valley Discoveries,3,0,0.0
Onconic Therapeutics Inc.,3,0,0.0
Sichuan Baili Pharmaceutical Co,3,0,0.0
International Partnership for Microbicides,3,0,0.0
Afimmune,3,0,0.0
CorMedix,3,1,33.3
Healx,3,0,0.0
Xenon Pharmaceuticals Inc.,3,0,0.0
Catalyst Biosciences,3,0,0.0
Terns,3,0,0.0
Verastem,3,1,33.3
Anhui Palo Alto Pharmaceuticals,3,0,0.0
Venatorx Pharmaceuticals,3,0,0.0
Cerevance Beta,3,0,0.0
NGM Biopharmaceuticals,3,0,0.0
PurGenesis Technologies Inc.,3,0,0.0
StemCyte,3,0,0.0
Cingulate Therapeutics,3,0,0.0
Cinclus Pharma Holding AB,3,0,0.0
Almirall,3,0,0.0
Spherium Biomed,3,0,0.0
Palobiofarma SL,3,0,0.0
Enimmune Corporation,3,0,0.0
Ethicon,3,0,0.0
Synermore Biologics (Suzhou) Co,3,0,0.0
Athenex,3,1,33.3
Prexton Therapeutics,3,0,0.0
Neovacs,3,0,0.0
McNeil AB,3,0,0.0
Nova Pneuma Inc.,3,0,0.0
Kezar Life Sciences,3,0,0.0
ABX advanced biochemical compounds,3,0,0.0
Laboratorio Elea Phoenix,3,0,0.0
ARS Pharmaceuticals,3,0,0.0
Antibe Therapeutics Inc.,3,0,0.0
Aridis Pharmaceuticals,3,0,0.0
Shenzhen Sciencare Medical Industries Co,3,0,0.0
Perfuse Therapeutics,3,0,0.0
MEI Pharma,3,0,0.0
Applied Biology,3,0,0.0
Oryzon Genomics,3,0,0.0
AbGenomics B.V Taiwan Branch,3,0,0.0
Torrent Pharmaceuticals,3,0,0.0
Crucell Holland BV,3,0,0.0
PharmaEssentia,3,0,0.0
Rockwell Medical Technologies,3,0,0.0
Laboratoire français de Fractionnement et de Biotechnologies,3,0,0.0
Amzell,3,0,0.0
Omeros Corporation,3,0,0.0
Amorepacific Corporation,3,0,0.0
Wellesley Pharmaceuticals,3,0,0.0
Connect Biopharm LLC,3,0,0.0
BioXcel Therapeutics Inc,3,0,0.0
Taiho Oncology,3,1,33.3
Sebela Women's Health Inc.,3,0,0.0
Baudax Bio,3,0,0.0
Apexigen America,3,0,0.0
Hill Dermaceuticals,3,0,0.0
Ardelyx,3,0,0.0
Archivel Farma S.L.,3,0,0.0
Catalysis SL,3,0,0.0
Pharmbio Korea Co,3,0,0.0
Bial - Portela C,3,0,0.0
Shanghai Hutchison Pharmaceuticals,3,0,0.0
Integrative Research Laboratories AB,3,0,0.0
Beijing Konruns Pharmaceutical Co,3,0,0.0
iRenix Medical,3,0,0.0
pharmaand,3,0,0.0
ColonaryConcepts LLC,3,0,0.0
Livzon Pharmaceutical Group Inc.,3,0,0.0
Gunkang Pharmaceuticals,3,0,0.0
Tetherex Pharmaceuticals Corporation,3,0,0.0
Longeveron Inc.,3,0,0.0
BiondVax Pharmaceuticals ltd.,3,0,0.0
Allegro Ophthalmics,3,0,0.0
Meridian Bioscience,3,0,0.0
Avalo Therapeutics,3,0,0.0
ERYtech Pharma,3,0,0.0
Anavex Life Sciences Corp.,3,0,0.0
Allarity Therapeutics,3,0,0.0
Vascular Insights,3,0,0.0
Lupin Research Inc,3,0,0.0
Polyphor Ltd.,3,0,0.0
Eiger BioPharmaceuticals,3,0,0.0
Mycovia Pharmaceuticals Inc.,3,0,0.0
Prolong Pharmaceuticals,3,0,0.0
Traws Pharma,3,0,0.0
Rain Oncology Inc,3,0,0.0
CTC Bio,3,0,0.0
miRagen Therapeutics,3,0,0.0
Advantage Dental Services,3,0,0.0
9 Meters Biopharma,3,0,0.0
Blueprint Medicines,3,2,66.7
Karyopharm Therapeutics Inc,3,0,0.0
Aura Biosciences,3,0,0.0
Aardvark Therapeutics,3,0,0.0
Medline Industries,3,0,0.0
Vascular Biogenics Ltd. operating as VBL Therapeutics,3,0,0.0
Zylorion Health,3,0,0.0
Photocure,3,0,0.0
AnaptysBio,3,0,0.0
Rhizen Pharmaceuticals SA,3,0,0.0
Affimed,3,0,0.0
Albireo,3,1,33.3
Entera Bio Ltd.,3,0,0.0
Anji Pharma,3,0,0.0
SkinJect,3,0,0.0
Polarean,3,1,33.3
Esteve Pharmaceuticals,3,0,0.0
Arthritis Innovation Corporation,3,0,0.0
Alume Biosciences,3,0,0.0
Senhwa Biosciences,3,0,0.0
Progenics Pharmaceuticals,3,0,0.0
ContraVir Pharmaceuticals,3,0,0.0
Ligand Pharmaceuticals,3,1,33.3
PleoPharma,3,0,0.0
BioMimetix JV,3,0,0.0
D. Western Therapeutics Institute,3,0,0.0
SCAI Therapeutics,3,0,0.0
Sinovac Life Sciences Co,3,0,0.0
Tisento Therapeutics,3,0,0.0
Dongkwang Pharm. Co,3,0,0.0
LG Life Sciences,3,0,0.0
Elite Laboratories,3,0,0.0
Aptinyx,3,0,0.0
RVL Pharmaceuticals,3,0,0.0
NexEos Diagnostics,3,0,0.0
Chengdu Suncadia Medicine Co,3,0,0.0
Asklepion Pharmaceuticals,3,1,33.3
OncoNano Medicine,3,0,0.0
Okyo Pharma Ltd,3,0,0.0
Innovation Pharmaceuticals,3,0,0.0
BioDelivery Sciences International,3,0,0.0
Arcus Biosciences,3,0,0.0
Church & Dwight Company,3,0,0.0
Pharvaris Netherlands B.V.,3,0,0.0
Akebia Therapeutics,3,1,33.3
Protagonist Therapeutics,3,0,0.0
Boston Scientific Corporation,3,0,0.0
Tego Science,3,0,0.0
VistaGen Therapeutics,3,0,0.0
Theriva Biologics,3,0,0.0
Mast Therapeutics,3,0,0.0
Gamida Cell ltd,3,0,0.0
Prokidney,3,0,0.0
"Becton, Dickinson",3,0,0.0
Carmot Therapeutics,3,0,0.0
Symphogen A/S,3,0,0.0
Veloxis Pharmaceuticals,3,0,0.0
Vedic Lifesciences,3,0,0.0
Longbio Pharma,3,0,0.0
Journey Medical Corporation,3,0,0.0
Clovis Oncology,3,1,33.3
"Avva Rus, JSC",3,0,0.0
Sequential Medicine Ltd,3,0,0.0
ACO Hud Nordic AB,3,0,0.0
Tiziana Life Sciences LTD,3,0,0.0
AFT Pharmaceuticals,3,0,0.0
A. Vogel,3,0,0.0
NeuroRx,3,0,0.0
Seres Therapeutics,3,0,0.0
Mabwell (Shanghai) Bioscience Co,2,0,0.0
Sobi,2,0,0.0
GemVax & Kael,2,0,0.0
Shanghai AbelZeta Ltd.,2,0,0.0
TTY Biopharm,2,0,0.0
InDex Pharmaceuticals,2,0,0.0
Provectus Biopharmaceuticals,2,0,0.0
"Genovate Biotechnology Co., Ltd.,",2,0,0.0
"Dr. Reddys Laboratories, SA",2,0,0.0
Healios K.K.,2,0,0.0
Axalbion SA,2,0,0.0
Dongkook Pharmaceutical Co,2,0,0.0
Leidos Life Sciences,2,0,0.0
Mdd Us Operations,2,0,0.0
Cumberland Pharmaceuticals,2,0,0.0
WindMIL Therapeutics,2,0,0.0
Genome & Company,2,0,0.0
Mercator MedSystems,2,0,0.0
Adynxx,2,0,0.0
Civi Biopharma,2,0,0.0
Stallergenes Greer,2,0,0.0
Ribomic USA Inc,2,0,0.0
Lipella Pharmaceuticals,2,0,0.0
Neumora Therapeutics,2,0,0.0
Zydus Therapeutics Inc.,2,0,0.0
Tracon Pharmaceuticals Inc.,2,0,0.0
Inspirna,2,0,0.0
Zhuhai Beihai Biotech Co,2,0,0.0
Novaliq,2,0,0.0
Axcella Health,2,0,0.0
Pfenex,2,0,0.0
Medibiofarma S.L.,2,0,0.0
MedDay Pharmaceuticals SA,2,0,0.0
Xenetic Biosciences,2,0,0.0
DHA Coffee Co,2,0,0.0
NImmune Biopharma,2,0,0.0
Genzum Life Sciences,2,0,0.0
Bod Australia,2,0,0.0
AlgiPharma AS,2,0,0.0
Evergreen Therapeutics,2,0,0.0
Rose Pharma Inc,2,0,0.0
"ImmunoVaccine Technologies, Inc. (IMV Inc.)",2,0,0.0
Neuraly,2,0,0.0
Nielsen BioSciences,2,0,0.0
Aeglea Biotherapeutics,2,0,0.0
Antengene Corporation,2,0,0.0
Shanghai Longwood Biopharmaceuticals Co,2,0,0.0
SynAct Pharma Aps,2,0,0.0
China National Biotec Group Company,2,0,0.0
Radiomedix,2,1,50.0
Egetis Therapeutics,2,0,0.0
Newsoara Biopharma Co,2,0,0.0
Calliditas Therapeutics AB,2,0,0.0
Xiamen LP Pharmaceutical Co,2,0,0.0
Alaunos Therapeutics,2,0,0.0
Cognition Therapeutics,2,0,0.0
AmacaThera Inc.,2,0,0.0
PhytoHealth Corporation,2,0,0.0
Heart Metabolics,2,0,0.0
Iconic Therapeutics,2,0,0.0
SBI ALApharma Canada,2,0,0.0
InnoCare Pharma Inc.,2,0,0.0
Vital Therapies,2,0,0.0
NLS Pharmaceutics,2,0,0.0
Prometheus Laboratories,2,0,0.0
OSE Immunotherapeutics,2,0,0.0
Noema Pharma,2,0,0.0
RDD Pharma Ltd,2,0,0.0
OrphAI Therapeutics,2,0,0.0
Alumis Inc,2,0,0.0
Gemini Therapeutics,2,0,0.0
AB Science,2,0,0.0
Cyclomedica Australia PTY,2,0,0.0
B. Braun Medical LLC,2,0,0.0
Teikoku Pharma USA,2,0,0.0
Innocoll,2,0,0.0
Quantum Genomics SA,2,0,0.0
NVP Healthcare,2,0,0.0
Avexima Diol LLC,2,0,0.0
Liquidia Technologies,2,0,0.0
Aleor Dermaceuticals,2,0,0.0
Marinus Pharmaceuticals,2,0,0.0
Boryung Biopharma Co,2,0,0.0
Ilya Pharma,2,0,0.0
Response Pharmaceuticals,2,0,0.0
Peregrine Pharmaceuticals,2,0,0.0
Vivoryon Therapeutics N.V.,2,0,0.0
Neuren Pharmaceuticals,2,0,0.0
Palvella Therapeutics,2,0,0.0
4SC,2,0,0.0
Kinevant Sciences,2,0,0.0
Shandong Suncadia Medicine Co,2,0,0.0
Poxel SA,2,0,0.0
Propella Therapeutics,2,0,0.0
Nanoscope Therapeutics Inc.,2,0,0.0
Delta-Fly Pharma,2,0,0.0
Bellerophon Pulse Technologies,2,0,0.0
Provention Bio,2,1,50.0
Topical Remedy,2,0,0.0
iDrop,2,0,0.0
Changchun BCHT Biotechnology Co.,2,0,0.0
PharmaKing,2,0,0.0
BioMarck Pharmaceuticals,2,0,0.0
Vaxine Pty Ltd,2,0,0.0
Clexio Biosciences Ltd.,2,0,0.0
Spinogenix,2,0,0.0
Biopharma Plasma LLC,2,0,0.0
Hyundai Bioland Co,2,0,0.0
CyanVac LLC,2,0,0.0
Hangzhou Highlightll Pharmaceutical Co,2,0,0.0
Summit Therapeutics,2,0,0.0
Tobira Therapeutics,2,0,0.0
US Oncology Research,2,0,0.0
Humanis Saglık Anonim Sirketi,2,0,0.0
Altavant Sciences,2,0,0.0
MoonLake Immunotherapeutics,2,0,0.0
Ophthotech Corporation,2,0,0.0
Avelas Biosciences,2,0,0.0
Kamada,2,0,0.0
Nykode Therapeutics ASA,2,0,0.0
Nohla Therapeutics,2,0,0.0
Protalix,2,0,0.0
Fulcrum Therapeutics,2,0,0.0
Istari Oncology,2,0,0.0
Shanghai Ark Biopharmaceutical Co,2,0,0.0
Steminent Biotherapeutics Inc.,2,0,0.0
Clementia Pharmaceuticals Inc.,2,0,0.0
medac,2,0,0.0
Douglas Pharmaceuticals America Ltd,2,0,0.0
Ensoma,2,0,0.0
Hyundai Pharm,2,0,0.0
Elcelyx Therapeutics,2,0,0.0
Dilafor AB,2,0,0.0
Allogene Therapeutics,2,0,0.0
Yuyu Pharma,2,0,0.0
Nitto Denko Corporation,2,0,0.0
South End Skin Care,2,0,0.0
Relypsa,2,1,50.0
Bioblast Pharma Ltd.,2,0,0.0
J&J,2,2,100.0
Sensorion,2,0,0.0
Aspen Global Incorporated,2,0,0.0
Sydnexis,2,0,0.0
EndoCeutics Inc.,2,0,0.0
Myovant Sciences,2,1,50.0
GB002,2,0,0.0
Seegpharm,2,0,0.0
AM-Pharma,2,0,0.0
Cerus Corporation,2,0,0.0
Wuhan YZY Biopharma Co,2,0,0.0
Staidson (Beijing) Biopharmaceuticals Co,2,0,0.0
Dyve Biosciences,2,0,0.0
ScandiBio Therapeutics AB,2,0,0.0
Shulov Innovate for Science Ltd. 2012,2,0,0.0
MediciNova,2,0,0.0
Contera Pharma,2,0,0.0
Dryox Health,2,0,0.0
Diffusion Pharmaceuticals Inc,2,0,0.0
GRI Bio Operations,2,0,0.0
Abdi Ibrahim Ilac San. ve Tic A.S.,2,0,0.0
HTA Co,2,0,0.0
Radius Pharmaceuticals,2,0,0.0
Mapi Pharma Ltd.,2,0,0.0
Pharmasoft,2,0,0.0
Scilex Pharmaceuticals,2,0,0.0
Alzheon Inc.,2,0,0.0
Pathalys Pharma,2,0,0.0
Regend Therapeutics,2,0,0.0
Processa Pharmaceuticals,2,0,0.0
Biocon Biologics Inc.,2,0,0.0
Novalead Pharma Private,2,0,0.0
"Shanghai Zerun Biotechnology Co.,Ltd",2,0,0.0
Alvogen Pine Brook LLC,2,0,0.0
Denovo Biopharma LLC,2,0,0.0
Carrick Therapeutics,2,0,0.0
Brainstorm-Cell Therapeutics,2,0,0.0
Millendo Therapeutics US,2,0,0.0
10xBio,2,0,0.0
Odonate Therapeutics,2,0,0.0
JDP Therapeutics,2,0,0.0
Cardiff Oncology,2,0,0.0
Guangdong Longchuangji Pharmaceutical Co,2,0,0.0
Teikoku Seiyaku Co,2,0,0.0
Pliant Therapeutics,2,0,0.0
Hvivo,2,0,0.0
Follicum AB,2,0,0.0
Clarity Pharmaceuticals Ltd,2,0,0.0
PepGen Inc,2,0,0.0
SymBio Pharmaceuticals,2,0,0.0
Elorac,2,0,0.0
Prothena Biosciences Ltd.,2,0,0.0
Saniona,2,0,0.0
Achieve Life Sciences,2,0,0.0
Kuhnil Pharmaceutical Co,2,0,0.0
Beijing Continent Pharmaceutical Co,2,0,0.0
GlycoMimetics Incorporated,2,0,0.0
Centus Biotherapeutics,2,0,0.0
Zhejiang Raygene Pharmaceuticals Co,2,0,0.0
CleveXel Pharma,2,0,0.0
DuKang Pharmaceuticals,2,0,0.0
Adienne SA,2,0,0.0
ACADIA Pharmaceuticals Inc.,2,0,0.0
Madrigal Pharmaceuticals,2,1,50.0
Providence Therapeutics Holdings Inc.,2,0,0.0
NeuroSense Therapeutics Ltd.,2,0,0.0
Theracos,2,0,0.0
Adamas Pharmaceuticals,2,0,0.0
Rhythm Pharmaceuticals,2,0,0.0
PolyPid Ltd.,2,0,0.0
Adaptive Phage Therapeutics,2,0,0.0
Patara Pharma,2,0,0.0
Beijing Shenogen Biomedical Co,2,0,0.0
Mundipharma (China) Pharmaceutical,2,0,0.0
Bioeq,2,0,0.0
Mallinckrodt Pharmaceuticals,2,1,50.0
Glaceum,2,0,0.0
Mikrobiomik Healthcare Company S.L.,2,0,0.0
Biodel,2,0,0.0
Thirty Respiratory,2,0,0.0
Pharmaceutical Research Management,2,0,0.0
BerGenBio ASA,2,0,0.0
NorthSea Therapeutics B.V.,2,0,0.0
Infectopharm Arzneimittel,2,0,0.0
Graybug Vision,2,0,0.0
MBX Biosciences,2,0,0.0
Crinetics Pharmaceuticals Inc.,2,0,0.0
Catalyst Pharmaceuticals,2,1,50.0
Fidia Farmaceutici,2,0,0.0
Aphaia Pharma US LLC,2,0,0.0
Chengdu Brilliant Pharmaceutical Co,2,0,0.0
Covis Pharma S.à.r.l.,2,0,0.0
Marius Pharmaceuticals,2,0,0.0
Arvinas Inc.,2,0,0.0
Camurus AB,2,0,0.0
CanBas Co. Ltd.,2,0,0.0
Tyrogenex,2,0,0.0
Beijing Joekai Biotechnology LLC,2,0,0.0
Smilebiotek Zhuhai,2,0,0.0
Mina Alpha,2,0,0.0
Lumos Pharma,2,0,0.0
Epizyme,2,1,50.0
Healthgen Biotechnology Corp.,2,0,0.0
Advaxis,2,0,0.0
Repurposed Therapeutics,2,0,0.0
GSK,2,2,100.0
Chongqing Claruvis Pharmaceutical Co,2,0,0.0
Valo Health,2,0,0.0
Finch Research and Development LLC.,2,0,0.0
Universal Integrated Corp.,2,0,0.0
SOTIO Biotech,2,0,0.0
Merus,2,1,50.0
KLSMC Stem Cells,2,0,0.0
Neutec Ar-Ge San ve Tic A.Ş,2,0,0.0
Catabasis Pharmaceuticals,2,0,0.0
Jiangsu XinChen-Techfields Pharma Co,2,0,0.0
NiKang Therapeutics,2,0,0.0
ThromboGenics,2,0,0.0
Lycera Corp.,2,0,0.0
Hope Pharmaceuticals,2,0,0.0
Rowpar Pharmaceuticals,2,0,0.0
Imunon,2,0,0.0
Shanghai Pharma Biotherapeutics USA Inc.,2,0,0.0
Clarus Therapeutics,2,0,0.0
AEterna Zentaris,2,0,0.0
Air Liquide Santé International,2,0,0.0
Laboratoire Innotech International,2,0,0.0
Ardea Biosciences,2,1,50.0
Prasco LLC,2,0,0.0
Abivax,2,0,0.0
CellProthera,2,0,0.0
Molecular Insight Pharmaceuticals,2,0,0.0
LimmaTech Biologics,2,0,0.0
Sao Thai Duong Joint Stock Company,2,0,0.0
Ablative Solutions,2,0,0.0
Reckitt Benckiser Healthcare (UK),2,0,0.0
Urigen,2,0,0.0
ChemomAb Ltd.,2,0,0.0
Kashiv BioSciences,2,0,0.0
SOFIE,2,0,0.0
pH Pharma,2,0,0.0
Deciphera,2,2,100.0
Formosa Pharmaceuticals,2,0,0.0
PCI Biotech AS,2,0,0.0
Tonghua Anrate Biopharmaceutical Co,2,0,0.0
Akero Therapeutics,2,0,0.0
Axogen Corporation,2,0,0.0
jCyte,2,0,0.0
Ripple Therapeutics Pty Ltd,2,0,0.0
Ensol Bioscience,2,0,0.0
Arrevus Inc.,2,0,0.0
Repros Therapeutics Inc.,2,0,0.0
Annexon,2,0,0.0
ViroXis Corporation,2,0,0.0
Primus Pharmaceuticals,2,0,0.0
Curacle Co,2,0,0.0
Evofem Inc.,2,0,0.0
Azafaros B.V.,2,0,0.0
"HUYABIO International, LLC.",2,0,0.0
Seikagaku Corporation,2,0,0.0
Prometic Biotherapeutics,2,0,0.0
Neurana Pharmaceuticals,2,0,0.0
Jiangsu Pacific Meinuoke Bio Pharmaceutical Co Ltd,2,0,0.0
Nanjing Chia-tai Tianqing Pharmaceutical,2,0,0.0
Vantive Health LLC,2,0,0.0
Pila Pharma,2,0,0.0
Leadiant Biosciences,2,1,50.0
Kyoto Drug Discovery and Development Co,2,0,0.0
Abeona Therapeutics,2,1,50.0
ReveraGen BioPharma,2,0,0.0
Sedana Medical,2,0,0.0
Acacia,2,2,100.0
Implicit Bioscience,2,0,0.0
Neurogastrx,2,0,0.0
Eyegate Pharmaceuticals,2,0,0.0
Curium US LLC,2,0,0.0
Zensun Sci. & Tech. Co,2,0,0.0
Scandinavian Biopharma AB,2,0,0.0
NantCell,2,0,0.0
TC Biopharm,2,0,0.0
Oshadi Drug Administration,2,0,0.0
TFF Pharmaceuticals,2,0,0.0
Synmosa Biopharma Corp.,2,0,0.0
CytomX Therapeutics,2,0,0.0
Espad Pharmed,2,0,0.0
Evgen Pharma,2,0,0.0
Clinuvel Pharmaceuticals,2,0,0.0
Perle Bioscience,2,0,0.0
Shield Therapeutics,2,0,0.0
Hepion Pharmaceuticals,2,0,0.0
Natural Wellness Egypt,2,0,0.0
Dermira,2,0,0.0
Supergene,2,0,0.0
InFlectis BioScience,2,0,0.0
Engrail Therapeutics INC,2,0,0.0
Imugene,2,0,0.0
89bio,2,0,0.0
Mankind Pharma,2,0,0.0
Jounce Therapeutics,2,0,0.0
SK Plasma Co,2,0,0.0
Sciwind Biosciences APAC CO Pty. Ltd.,2,0,0.0
SOM Innovation Biotech SA,2,0,0.0
Island Pharmaceuticals,2,0,0.0
Syntrix Biosystems,2,0,0.0
HemCon Medical Technologies,2,0,0.0
PharmaJet,2,0,0.0
Ever Neuro Pharma,2,0,0.0
Moberg Pharma AB,2,0,0.0
Rigel Pharmaceuticals,2,0,0.0
Turn Therapeutics,2,0,0.0
GTx,2,0,0.0
Navidea Biopharmaceuticals,2,0,0.0
Modra Pharmaceuticals,2,0,0.0
Byondis B.V.,2,0,0.0
InCarda Therapeutics,2,0,0.0
Teleflex,2,0,0.0
AIM Vaccine Co,2,0,0.0
Jiangsu Famous Medical Technology Co,2,0,0.0
Sinew Pharma Inc.,2,0,0.0
Tarsier Pharma,2,0,0.0
Kura Oncology,2,0,0.0
Concentrx Pharmaceuticals,2,0,0.0
Bionomics,2,0,0.0
Atossa Therapeutics,2,0,0.0
OncoSec Medical Incorporated,2,0,0.0
Romark Laboratories L.C.,2,0,0.0
Joincare Pharmaceutical Group Industry Co,2,0,0.0
Dermax SA,2,0,0.0
Celldex Therapeutics,2,0,0.0
Suzhou Raymon Pharmaceuticals Company,2,0,0.0
TaiMed Biologics Inc.,2,0,0.0
Shenyang Sunshine Pharmaceutical Co,2,0,0.0
Merz Pharmaceuticals,2,0,0.0
GeneOne Life Science,2,0,0.0
Pharma Holdings AS,2,0,0.0
Quantum Biopharma,2,0,0.0
Beijing Health Guard Biotechnology,2,0,0.0
Sunovion Respiratory Development Inc.,2,0,0.0
Galmed Research and Development,2,0,0.0
Athera Biotechnologies AB,2,0,0.0
Allay Therapeutics,2,0,0.0
